INSTANCE_NAME,instance_name, instance file name
VARS,vars,the number of variables
BIN_VARS,bin_vars,number of binary variables
INT_VARS,int_vars,number of integer variables
CONT_VARS,cont_vars,number of continuous variables
IMPLINT_VARS, implint_vars, number of implicit integer variables
FIXED_VARS, fixed_vars, number of fixed integer variables
TOTAL_OBJNONZERO_VARS,tot_objnonzero,number of variables with nonzero objective coefficients
BIN_OBJNONZERO_VARS,bin_objnonzero,number of binary variables with nonzero objective coefficients relative to total number of binary variables
INT_OBJNONZERO_VARS,int_objnonzero,number of integer variables with nonzero objective coefficients relative to total number of integer variables
CONT_OBJNONZERO_VARS,cont_objnonzero,number of continuous variables with nonzero objective coefficients relative to total number of continuous variables
IMPLINT_OBJNONZERO_VARS, implint_objnonzero, number of implicit intiger variables with nonzero objective coefficients relative to total number of continuous variables
FIXED_OBJNONZERO_VARS, fixed_objnonzero, number of fixed variables with nonzero objective coefficients relative to total number of continuous variables
PER_FINITE_UB,per_finit_upper,percent of finite variable upper bounds
PER_FINITE_LB,per_finit_lower,percent of finite variable lower bounds
UPPERBOUNDS_MEAN,ub_mean,mean over finite upper bounds of all variables
UPPERBOUNDS_MIN,ub_min,minimum over finite upper bounds of all variables
UPPERBOUNDS_MAX,ub_max,maximum over finite upper bounds of all variables
UPPERBOUNDS_STD,ub_std,standard deviation over finite upper bounds of all variables
UPPERBOUNDS_MEDIAN,ub_median,median over finite upper bounds of all variables
UPPERBOUNDS_DENSITY,ub_density,density of finite upper bounds for all variables
LOWERBOUNDS_MEAN,lb_mean,mean over finite lower bounds of all variables
LOWERBOUNDS_MIN,lb_min,minimum over finite lower bounds of all variables
LOWERBOUNDS_MAX,lb_max,maximum over finite lower bounds of all variables
LOWERBOUNDS_STD,lb_std,standard deviation over finite lower bounds of all variables
LOWERBOUNDS_MEDIAN,lb_median,median over finite lower bounds of all variables
LOWERBOUNDS_DENSITY,lb_density,density of finite lower bounds for all variables
BOUNDRANGE_MEAN,boundrange_mean,mean finite distance between upper and lower bounds
BOUNDRANGE_MIN,boundrange_min,minimum finite distance between upper and lower bounds
BOUNDRANGE_MAX,boundrange_max,maximum finite distance between upper and lower bounds
BOUNDRANGE_STD,boundrange_std,standard deviation of finite distance between upper and lower bounds
BOUNDRANGE_MEDIAN,boundrange_median,median finite distance between upper and lower bounds
OBJECTIVE_DYNAMISM,obj_dyn,objective function dynamism
OBJCOEFF_ALL_MEAN,objcoeff_all_mean,mean over the coefficients of all variables in the objective function
OBJCOEFF_ALL_MIN,objcoeff_all_min,minimum over the coefficients of all variables in the objective function
OBJCOEFF_ALL_MAX,objcoeff_all_max,maximum over the coefficients of all variables in the objective function
OBJCOEFF_ALL_STD,objcoeff_all_std,standard deviation over the coefficients of all variables in the objective function
OBJCOEFF_ALL_MEDIAN,objcoeff_all_median,median over the coefficients of all variables in the objective function
OBJCOEFF_BIN_MEAN,objcoeff_bin_mean,mean over the coefficients of binary variables in the objective function
OBJCOEFF_BIN_MIN,objcoeff_bin_min,minimum over the coefficients of binary variables in the objective function
OBJCOEFF_BIN_MAX,objcoeff_bin_max,maximum over the coefficients of binary variables in the objective function
