,index,NAME,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
0,0,neos-5140963-mincio.mps.gz,16296.812995999997,17910.818275999998,5624805.0,5527433.2,1,1,1,1,16296.812995999997,5527433.2,16296.812995999997,16296.812995999997,16296.812995999997,5624805.0,5624805.0,5624805.0
1,1,neos8.mps.gz,16.7803234,56.4835446,1.0,1.0,1,1,1,1,16.7803234,1.0,16.7803234,16.7803234,16.7803234,1.0,1.0,1.0
2,2,neos-4391920-timok.mps.gz,299.3841612,290.1333638,1.0,1.0,0,0,0,0,290.1333638,1.0,290.1333638,290.1333638,290.1333638,1.0,1.0,1.0
3,3,30_70_45_095_98.mps.gz,76.55775359999998,26.326404200000002,1.0,1.0,0,1,0,0,26.326404200000002,1.0,26.326404200000002,26.326404200000002,76.55775359999998,1.0,1.0,1.0
4,4,wachplan.mps.gz,1434.6054081999998,1776.5387852,67520.0,98056.0,1,1,1,1,1434.6054081999998,67520.0,1434.6054081999998,1434.6054081999998,1434.6054081999998,67520.0,67520.0,67520.0
5,5,neos-3004026-krka.mps.gz,403.68241539999997,58.322069,13955.0,5663.0,0,0,0,0,58.322069,5663.0,58.322069,58.322069,58.322069,5663.0,5663.0,5663.0
6,6,swath2.mps.gz,61.110012000000005,53.62951700000001,1926.0,1333.0,0,1,0,0,53.62951700000001,1333.0,53.62951700000001,53.62951700000001,61.110012000000005,1333.0,1333.0,1926.0
7,7,CMS750_4.mps.gz,18000.492353999998,15883.387148,1.0,155687.0,0,0,0,0,15883.387148,1.0,15883.387148,15883.387148,15883.387148,155687.0,155687.0,155687.0
8,8,neos-3226448-wkra.mps.gz,18000.002084,5332.167372400001,188.0,44.0,0,0,0,0,5332.167372400001,44.0,5332.167372400001,5332.167372400001,5332.167372400001,44.0,44.0,44.0
9,9,aligninq.mps.gz,42.60985,19.5593642,979.0,343.0,0,1,0,0,19.5593642,343.0,19.5593642,19.5593642,42.60985,343.0,343.0,979.0
10,10,danoint.mps.gz,6039.8008036,4702.942001400001,1239048.0,1591551.0,0,0,0,0,4702.942001400001,1239048.0,4702.942001400001,4702.942001400001,4702.942001400001,1591551.0,1591551.0,1591551.0
11,11,neos6.mps.gz,382.54915739999996,802.3737904,3667.0,9640.0,1,1,1,1,382.54915739999996,3667.0,382.54915739999996,382.54915739999996,382.54915739999996,3667.0,3667.0,3667.0
12,12,air04.mps.gz,67.32292199999999,85.97599419999999,134.0,499.0,1,1,1,1,67.32292199999999,134.0,67.32292199999999,67.32292199999999,67.32292199999999,134.0,134.0,134.0
13,13,map16715-04.mps.gz,1890.8414367999999,1623.2809076,1657.0,2000.0,0,1,0,0,1623.2809076,1657.0,1623.2809076,1623.2809076,1890.8414367999999,2000.0,2000.0,1657.0
14,14,neos-633273.mps.gz,0.7283503999999998,0.7563008,1.0,1.0,1,1,1,1,0.7283503999999998,1.0,0.7283503999999998,0.7283503999999998,0.7283503999999998,1.0,1.0,1.0
15,15,acc-tight2.mps.gz,15.5857404,10.0762876,7.0,80.0,0,0,0,0,10.0762876,7.0,10.0762876,10.0762876,10.0762876,80.0,80.0,80.0
16,16,pw-myciel4.mps.gz,705.3985839999999,1368.1515948,46551.0,128785.0,1,1,1,1,705.3985839999999,46551.0,705.3985839999999,705.3985839999999,705.3985839999999,46551.0,46551.0,46551.0
