NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,RANDOM SEED,CUT SETTING,STATUS,END
10teams.mps.gz,20,0,0,917,924,12.21253,0.062201,924,0,210,0,0,276,2,0,optimal,DONE
10teams.mps.gz,20,0,0,917,924,12.444448,0.060087,924,0,210,0,0,276,4,0,optimal,DONE
10teams.mps.gz,20,0,0,917,924,12.331489,0.05878,924,0,210,0,0,276,8,0,optimal,DONE
10teams.mps.gz,20,0,0,917,924,12.467186,0.059116,924,0,210,0,0,276,16,0,optimal,DONE
10teams.mps.gz,20,0,0,917,924,12.477946,0.058801,924,0,210,0,0,276,32,0,optimal,DONE
22433.mps.gz,21240.52617,0,0,21240.52617,21477,0.651876,0.028259,21477,0,396,0,0,5,2,0,optimal,DONE
22433.mps.gz,21240.52617,0,0,21240.52617,21477,0.648197,0.024628,21477,0,396,0,0,5,4,0,optimal,DONE
22433.mps.gz,21240.52617,0,0,21240.52617,21477,0.646102,0.024753,21477,0,396,0,0,5,8,0,optimal,DONE
22433.mps.gz,21240.52617,0,0,21240.52617,21477,0.650985,0.025064,21477,0,396,0,0,5,16,0,optimal,DONE
22433.mps.gz,21240.52617,0,0,21240.52617,21477,0.655748,0.024624,21477,0,396,0,0,5,32,0,optimal,DONE
23588.mps.gz,7649.866134,0,0,7747,8090,2.407042,0.035478,8090,0,274,0,0,981,2,0,optimal,DONE
23588.mps.gz,7649.866134,0,0,7747,8090,2.401892,0.031816,8090,0,274,0,0,981,4,0,optimal,DONE
23588.mps.gz,7649.866134,0,0,7747,8090,2.416476,0.030915,8090,0,274,0,0,981,8,0,optimal,DONE
23588.mps.gz,7649.866134,0,0,7747,8090,2.380748,0.030461,8090,0,274,0,0,981,16,0,optimal,DONE
23588.mps.gz,7649.866134,0,0,7747,8090,2.392584,0.03106,8090,0,274,0,0,981,32,0,optimal,DONE
2club200v15p5scn.mps.gz,-200,0,0,-121.2222222,-67,18000.00309,1.151825,-67,0.436567164,33994,0,0,1275331,2,0,timelimit,DONE
2club200v15p5scn.mps.gz,-200,0,0,-121.2222222,-67,18000.00657,0.891253,-67,0.426865672,33994,0,0,1469791,4,0,timelimit,DONE
2club200v15p5scn.mps.gz,-200,0,0,-121.2222222,-67,18000.00448,0.907257,-67,0.426865672,33994,0,0,1470499,8,0,timelimit,DONE
2club200v15p5scn.mps.gz,-200,0,0,-121.2222222,-67,18000.00331,0.915646,-67,0.425373134,33994,0,0,1487302,16,0,timelimit,DONE
2club200v15p5scn.mps.gz,-200,0,0,-121.2222222,-67,18000.00611,0.886441,-67,0.425373134,33994,0,0,1540026,32,0,timelimit,DONE
30_70_45_05_100.mps.gz,-5336,0,0,8.1,9,239.31573,1.624321,9,0,12025,0,0,201,2,0,optimal,DONE
30_70_45_05_100.mps.gz,-5336,0,0,8.1,9,240.967548,1.626472,9,0,12025,0,0,201,4,0,optimal,DONE
30_70_45_05_100.mps.gz,-5336,0,0,8.1,9,239.754295,1.623856,9,0,12025,0,0,201,8,0,optimal,DONE
30_70_45_05_100.mps.gz,-5336,0,0,8.1,9,239.791563,1.634027,9,0,12025,0,0,201,16,0,optimal,DONE
30_70_45_05_100.mps.gz,-5336,0,0,8.1,9,240.569776,1.617244,9,0,12025,0,0,201,32,0,optimal,DONE
30_70_45_095_100.mps.gz,-6132,0,0,3,3,56.253121,2.661368,3,0,12505,0,0,1,2,0,optimal,DONE
30_70_45_095_100.mps.gz,-6132,0,0,3,3,56.153128,1.938273,3,0,12505,0,0,1,4,0,optimal,DONE
30_70_45_095_100.mps.gz,-6132,0,0,3,3,55.704246,2.072917,3,0,12505,0,0,1,8,0,optimal,DONE
30_70_45_095_100.mps.gz,-6132,0,0,3,3,55.483528,2.097398,3,0,12505,0,0,1,16,0,optimal,DONE
30_70_45_095_100.mps.gz,-6132,0,0,3,3,54.978285,1.948367,3,0,12505,0,0,1,32,0,optimal,DONE
30_70_45_095_98.mps.gz,-5967,0,0,11.5,12,26.348992,2.632132,12,0,12393,0,0,1,2,0,optimal,DONE
