NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
10teams.mps.gz,20,917,13,924,924,11.034614,0.067284,924,0,261,49,0,30,0.071517,1.426593,3.501355,2,1,optimal,DONE
10teams.mps.gz,20,917,13,924,924,10.677162,0.057992,924,0,261,49,0,30,0.062161,1.378128,3.394305,4,1,optimal,DONE
10teams.mps.gz,20,917,13,924,924,10.263537,0.055842,924,0,261,49,0,30,0.059893,1.350495,3.305622,8,1,optimal,DONE
10teams.mps.gz,20,917,13,924,924,10.083312,0.052585,924,0,261,49,0,30,0.056373,1.293845,3.17446,16,1,optimal,DONE
10teams.mps.gz,20,917,13,924,924,10.125804,0.053544,924,0,261,49,0,30,0.057338,1.301532,3.188138,32,1,optimal,DONE
22433.mps.gz,21240.52617,21278,58,21471.13886,21477,2.85055,0.046503,21477,0,3167,6,0,1,0.026134,0.174404,2.850508,2,1,optimal,DONE
22433.mps.gz,21240.52617,21278,58,21471.13886,21477,2.860371,0.046197,21477,0,3167,6,0,1,0.025086,0.175735,2.86033,4,1,optimal,DONE
22433.mps.gz,21240.52617,21278,58,21471.13886,21477,2.831,0.045108,21477,0,3167,6,0,1,0.024765,0.169901,2.830935,8,1,optimal,DONE
22433.mps.gz,21240.52617,21278,58,21471.13886,21477,2.832843,0.047051,21477,0,3167,6,0,1,0.026867,0.176915,2.832802,16,1,optimal,DONE
22433.mps.gz,21240.52617,21278,58,21471.13886,21477,2.76596,0.045552,21477,0,3167,6,0,1,0.025012,0.167459,2.765924,32,1,optimal,DONE
23588.mps.gz,7649.866134,7660,34,7765,8090,5.194317,0.028267,8090,0,4400,145,0,576,0.024503,0.145457,2.057044,2,1,optimal,DONE
23588.mps.gz,7649.866134,7660,34,7765,8090,5.10161,0.028429,8090,0,4400,145,0,576,0.025075,0.141806,1.988711,4,1,optimal,DONE
23588.mps.gz,7649.866134,7660,34,7765,8090,4.99642,0.028489,8090,0,4400,145,0,576,0.025052,0.142583,1.980055,8,1,optimal,DONE
23588.mps.gz,7649.866134,7660,34,7765,8090,4.932227,0.026957,8090,0,4400,145,0,576,0.023742,0.138121,1.928749,16,1,optimal,DONE
23588.mps.gz,7649.866134,7660,34,7765,8090,4.847436,0.026918,8090,0,4400,145,0,576,0.023746,0.135471,1.906832,32,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336,8.5,13,9,9,279.222367,2.382363,9,0,12402,101,0,46,2.416895,18.911955,153.310763,2,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336,8.5,13,9,9,294.714477,1.702687,9,0,12402,101,0,46,1.728121,17.777159,160.377603,4,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336,8.5,13,9,9,300.372813,1.850132,9,0,12402,101,0,46,1.879336,18.406927,166.525662,8,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336,8.5,13,9,9,298.436885,1.990346,9,0,12402,101,0,46,2.020293,18.769875,164.686151,16,1,optimal,DONE
30_70_45_05_100.mps.gz,-5336,8.5,13,9,9,299.680461,2.00725,9,0,12402,101,0,46,2.038729,18.972518,166.322223,32,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132,3,12,3,3,751.66652,2.556274,3,0,13215,324,0,201,2.587605,20.124751,183.850917,2,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132,3,12,3,3,770.273859,1.985447,3,0,13215,324,0,201,2.018269,20.272009,198.507488,4,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132,3,12,3,3,748.875271,1.84952,3,0,13215,324,0,201,1.878089,19.372911,193.648202,8,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132,3,12,3,3,743.946475,1.816322,3,0,13215,324,0,201,1.844196,18.963659,189.398765,16,1,optimal,DONE
30_70_45_095_100.mps.gz,-6132,3,12,3,3,735.928889,1.764927,3,0,13215,324,0,201,1.792342,18.86031,188.744407,32,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967,11.5,11,12,12,69.83354,1.755709,12,0,13035,153,0,1,1.781725,14.408519,69.833394,2,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967,11.5,11,12,12,68.0685,1.636681,12,0,13035,153,0,1,1.661047,13.41047,68.068374,4,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967,11.5,11,12,12,68.932604,1.612028,12,0,13035,153,0,1,1.636499,13.394643,68.932459,8,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967,11.5,11,12,12,71.725619,1.703629,12,0,13035,153,0,1,1.728592,14.19518,71.725479,16,1,optimal,DONE
30_70_45_095_98.mps.gz,-5967,11.5,11,12,12,71.357492,1.70778,12,0,13035,153,0,1,1.73296,14.083009,71.357351,32,1,optimal,DONE
30n20b8.mps.gz,107.098391,121.7659902,90,151.3806057,302,141.92419,18.017962,302,0,16344,1105,0,1617,17.908829,19.687597,125.986309,2,1,optimal,DONE
30n20b8.mps.gz,107.098391,121.7659902,90,151.3806057,302,144.802292,16.86513,302,0,16344,1105,0,1617,16.747557,18.59206,128.018462,4,1,optimal,DONE
30n20b8.mps.gz,107.098391,121.7659902,90,151.3806057,302,154.263315,17.741909,302,0,16344,1105,0,1617,17.620184,19.405396,136.631465,8,1,optimal,DONE
30n20b8.mps.gz,107.098391,121.7659902,90,151.3806057,302,150.491819,18.042864,302,0,16344,1105,0,1617,17.920095,19.842064,133.411573,16,1,optimal,DONE
30n20b8.mps.gz,107.098391,121.7659902,90,151.3806057,302,151.46573,18.157965,302,0,16344,1105,0,1617,18.039094,19.833589,134.146273,32,1,optimal,DONE
ab51-40-100.mps.gz,-3.99818E+12,0,0,-3.99818E+12,-10420305975,714.103092,5.191461,-10420305975,0,10723,92,0,1316,5.22196,0,0,2,1,optimal,DONE
ab51-40-100.mps.gz,-3.99818E+12,0,0,-3.99818E+12,-10420305975,713.807284,5.152623,-10420305975,0,10723,92,0,1316,5.183237,0,0,4,1,optimal,DONE
ab51-40-100.mps.gz,-3.99818E+12,0,0,-3.99818E+12,-10420305975,712.725755,5.12957,-10420305975,0,10723,92,0,1316,5.159741,0,0,8,1,optimal,DONE
ab51-40-100.mps.gz,-3.99818E+12,0,0,-3.99818E+12,-10420305975,712.724376,5.168721,-10420305975,0,10723,92,0,1316,5.199392,0,0,16,1,optimal,DONE
ab51-40-100.mps.gz,-3.99818E+12,0,0,-3.99818E+12,-10420305975,712.627678,5.163956,-10420305975,0,10723,92,0,1316,5.194637,0,0,32,1,optimal,DONE
ab67-40-100.mps.gz,-4.7064E+12,-4.7064E+12,1,-4.7064E+12,-11186253442,283.498554,6.160005,-11186253442,0,10294,4,0,73,6.198348,15.847715,15.847715,2,1,optimal,DONE
ab67-40-100.mps.gz,-4.7064E+12,-4.7064E+12,1,-4.7064E+12,-11186253442,283.564227,5.684511,-11186253442,0,10294,4,0,73,5.719428,15.279918,15.279918,4,1,optimal,DONE
ab67-40-100.mps.gz,-4.7064E+12,-4.7064E+12,1,-4.7064E+12,-11186253442,259.8248,6.104645,-11186253442,0,10294,4,0,73,6.140559,15.592366,15.592366,8,1,optimal,DONE
ab67-40-100.mps.gz,-4.7064E+12,-4.7064E+12,1,-4.7064E+12,-11186253442,265.269072,5.51746,-11186253442,0,10294,4,0,73,5.55126,14.594441,14.594441,16,1,optimal,DONE
ab67-40-100.mps.gz,-4.7064E+12,-4.7064E+12,1,-4.7064E+12,-11186253442,264.37117,5.161908,-11186253442,0,10294,4,0,73,5.194618,14.120981,14.120981,32,1,optimal,DONE
ab69-40-100.mps.gz,-4.63615E+12,0,0,-4.63615E+12,-11186281442,356.71625,6.091785,-11186281442,0,10119,1,0,89,6.129151,0,0,2,1,optimal,DONE
ab69-40-100.mps.gz,-4.63615E+12,0,0,-4.63615E+12,-11186281442,351.68201,5.505049,-11186281442,0,10119,1,0,89,5.541388,0,0,4,1,optimal,DONE
ab69-40-100.mps.gz,-4.63615E+12,0,0,-4.63615E+12,-11186281442,331.075416,5.115974,-11186281442,0,10119,1,0,89,5.15011,0,0,8,1,optimal,DONE
ab69-40-100.mps.gz,-4.63615E+12,0,0,-4.63615E+12,-11186281442,333.028115,5.103509,-11186281442,0,10119,1,0,89,5.137005,0,0,16,1,optimal,DONE
ab69-40-100.mps.gz,-4.63615E+12,0,0,-4.63615E+12,-11186281442,340.915559,4.828638,-11186281442,0,10119,1,0,89,4.861708,0,0,32,1,optimal,DONE
ab71-20-100.mps.gz,-2.59574E+12,-10885807587,2,-2.59574E+12,-10420305975,178.193396,2.445897,-10420305975,0,5868,79,0,699,2.464045,5.165137,7.509494,2,1,optimal,DONE
ab71-20-100.mps.gz,-2.59574E+12,-10885807587,2,-2.59574E+12,-10420305975,176.525839,1.949165,-10420305975,0,5868,79,0,699,1.967056,4.66402,6.995399,4,1,optimal,DONE
ab71-20-100.mps.gz,-2.59574E+12,-10885807587,2,-2.59574E+12,-10420305975,177.93281,1.963917,-10420305975,0,5868,79,0,699,1.981196,4.698787,7.027596,8,1,optimal,DONE
ab71-20-100.mps.gz,-2.59574E+12,-10885807587,2,-2.59574E+12,-10420305975,167.642972,1.966752,-10420305975,0,5868,79,0,699,1.984606,4.712311,7.058392,16,1,optimal,DONE
