,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/ CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
0,10teams.mps.gz,20.0,917.0,13,924.0,924.0,10.703114,924.0,0.0,261,49,0,30,0.156992,1.558014,3.54573,2,1,optimal,DONE
0,10teams.mps.gz,20.0,917.0,13,924.0,924.0,10.5431,924.0,0.0,261,49,0,30,0.087368,1.490006,3.467127,32,1,optimal,DONE
0,10teams.mps.gz,20.0,917.0,13,924.0,924.0,10.612878,924.0,0.0,261,49,0,30,0.088616,1.490672,3.482125,4,1,optimal,DONE
0,10teams.mps.gz,20.0,917.0,13,924.0,924.0,10.505375,924.0,0.0,261,49,0,30,0.084967,1.485573,3.461656,16,1,optimal,DONE
0,10teams.mps.gz,20.0,917.0,13,924.0,924.0,10.696199,924.0,0.0,261,49,0,30,0.143698,1.548765,3.54425,8,1,optimal,DONE
1,22433.mps.gz,21240.526170798898,21278.0,58,21471.13885990249,21477.0,2.906032,21477.0,0.0,3167,6,0,1,0.070016,0.2290309999999999,2.906003,32,1,optimal,DONE
1,22433.mps.gz,21240.526170798898,21278.0,58,21471.13885990249,21477.0,2.877262,21477.0,0.0,3167,6,0,1,0.044825,0.2041,2.877233,16,1,optimal,DONE
1,22433.mps.gz,21240.526170798898,21278.0,58,21471.13885990249,21477.0,2.926255,21477.0,0.0,3167,6,0,1,0.0850969999999999,0.245166,2.926213,8,1,optimal,DONE
1,22433.mps.gz,21240.526170798898,21278.0,58,21471.13885990249,21477.0,2.885082,21477.0,0.0,3167,6,0,1,0.041552,0.20131,2.885054,4,1,optimal,DONE
1,22433.mps.gz,21240.526170798898,21278.0,58,21471.13885990249,21477.0,2.87964,21477.0,0.0,3167,6,0,1,0.073734,0.232932,2.87961,2,1,optimal,DONE
2,23588.mps.gz,7649.866133822501,7660.0,34,7765.0,8090.0,5.095594,8090.0,0.0,4400,145,0,576,0.080593,0.20937,2.157763,16,1,optimal,DONE
2,23588.mps.gz,7649.866133822501,7660.0,34,7765.0,8090.0,4.955615,8090.0,0.0,4400,145,0,576,0.0453639999999999,0.17225,2.063721,2,1,optimal,DONE
2,23588.mps.gz,7649.866133822501,7660.0,34,7765.0,8090.0,5.068528,8090.0,0.0,4400,145,0,576,0.045471,0.1734639999999999,2.121954,32,1,optimal,DONE
2,23588.mps.gz,7649.866133822501,7660.0,34,7765.0,8090.0,4.999079,8090.0,0.0,4400,145,0,576,0.088713,0.216589,2.108805,4,1,optimal,DONE
2,23588.mps.gz,7649.866133822501,7660.0,34,7765.0,8090.0,4.948153,8090.0,0.0,4400,145,0,576,0.044205,0.171509,2.06301,8,1,optimal,DONE
3,30_70_45_05_100.mps.gz,-5336.0,8.5,13,9.0,9.0,305.169922,9.0,0.0,12402,101,0,46,5.477684,22.06962,160.390231,32,1,optimal,DONE
3,30_70_45_05_100.mps.gz,-5336.0,8.5,13,9.0,9.0,305.366806,9.0,0.0,12402,101,0,46,5.477681,21.992611,160.240427,4,1,optimal,DONE
3,30_70_45_05_100.mps.gz,-5336.0,8.5,13,9.0,9.0,303.519996,9.0,0.0,12402,101,0,46,5.490033,22.027379,159.327068,8,1,optimal,DONE
3,30_70_45_05_100.mps.gz,-5336.0,8.5,13,9.0,9.0,305.662712,9.0,0.0,12402,101,0,46,5.479703,22.117564,160.883405,16,1,optimal,DONE
3,30_70_45_05_100.mps.gz,-5336.0,8.5,13,9.0,9.0,298.609909,9.0,0.0,12402,101,0,46,5.457588,21.920498,159.298551,2,1,optimal,DONE
