,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/O CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
0,10teams.mps.gz,20.0,0,0,917.0,924.0,11.865484,924.0,0.0,210,0,0,276,0.083092,0,0,2,0,optimal,DONE
0,10teams.mps.gz,20.0,0,0,917.0,924.0,12.023708000000001,924.0,0.0,210,0,0,276,0.142738,0,0,32,0,optimal,DONE
0,10teams.mps.gz,20.0,0,0,917.0,924.0,11.812636999999999,924.0,0.0,210,0,0,276,0.085024,0,0,4,0,optimal,DONE
0,10teams.mps.gz,20.0,0,0,917.0,924.0,11.836083,924.0,0.0,210,0,0,276,0.084062,0,0,8,0,optimal,DONE
0,10teams.mps.gz,20.0,0,0,917.0,924.0,11.912657000000001,924.0,0.0,210,0,0,276,0.15664799999999998,0,0,16,0,optimal,DONE
1,22433.mps.gz,21240.526170798898,0,0,21240.526170798898,21477.0,0.801551,21477.0,0.0,396,0,0,5,0.059695000000000005,0,0,2,0,optimal,DONE
1,22433.mps.gz,21240.526170798898,0,0,21240.526170798898,21477.0,0.7844629999999999,21477.0,0.0,396,0,0,5,0.046698,0,0,4,0,optimal,DONE
1,22433.mps.gz,21240.526170798898,0,0,21240.526170798898,21477.0,0.810962,21477.0,0.0,396,0,0,5,0.069482,0,0,16,0,optimal,DONE
1,22433.mps.gz,21240.526170798898,0,0,21240.526170798898,21477.0,0.8299340000000001,21477.0,0.0,396,0,0,5,0.088797,0,0,8,0,optimal,DONE
1,22433.mps.gz,21240.526170798898,0,0,21240.526170798898,21477.0,0.7780630000000001,21477.0,0.0,396,0,0,5,0.040454000000000004,0,0,32,0,optimal,DONE
2,23588.mps.gz,7649.866133822501,0,0,7747.0,8090.0,2.202889,8090.0,0.0,274,0,0,981,0.039617,0,0,16,0,optimal,DONE
2,23588.mps.gz,7649.866133822501,0,0,7747.0,8090.0,2.215416,8090.0,0.0,274,0,0,981,0.051338,0,0,8,0,optimal,DONE
2,23588.mps.gz,7649.866133822501,0,0,7747.0,8090.0,2.2273330000000002,8090.0,0.0,274,0,0,981,0.063889,0,0,4,0,optimal,DONE
2,23588.mps.gz,7649.866133822501,0,0,7747.0,8090.0,2.220951,8090.0,0.0,274,0,0,981,0.05765599999999999,0,0,2,0,optimal,DONE
2,23588.mps.gz,7649.866133822501,0,0,7747.0,8090.0,2.199532,8090.0,0.0,274,0,0,981,0.047332,0,0,32,0,optimal,DONE
424,2club200v15p5scn.mps.gz,-200.0,0,0,-121.22222222222223,-67.0,18000.004225,-67.0,0.4328358208955224,33994,0,0,1346878,0.6877559999999999,0,0,32,0,timelimit,DONE
424,2club200v15p5scn.mps.gz,-200.0,0,0,-121.22222222222223,-67.0,18000.002796,-67.0,0.43871551334237896,33994,0,0,1238789,0.7232310000000001,0,0,4,0,timelimit,DONE
423,2club200v15p5scn.mps.gz,-200.0,0,0,-121.22222222222223,-67.0,18000.002896,-67.0,0.4328358208955224,33994,0,0,1346568,0.6957599999999999,0,0,16,0,timelimit,DONE
423,2club200v15p5scn.mps.gz,-200.0,0,0,-121.22222222222223,-67.0,18000.003709,-67.0,0.4390547263681593,33994,0,0,1234092,0.476332,0,0,8,0,timelimit,DONE
422,2club200v15p5scn.mps.gz,-200.0,0,0,-121.22222222222223,-67.0,18000.003094,-67.0,0.4328358208955224,33994,0,0,1306934,0.653451,0,0,2,0,timelimit,DONE
3,30_70_45_05_100.mps.gz,-5336.0,0,0,8.100000000000364,9.0,254.466751,9.0,0.0,12025,0,0,201,5.455734,0,0,16,0,optimal,DONE
3,30_70_45_05_100.mps.gz,-5336.0,0,0,8.100000000000364,9.0,255.579851,9.0,0.0,12025,0,0,201,5.470915,0,0,32,0,optimal,DONE
3,30_70_45_05_100.mps.gz,-5336.0,0,0,8.100000000000364,9.0,235.36709399999998,9.0,0.0,12025,0,0,201,2.528752,0,0,2,0,optimal,DONE
3,30_70_45_05_100.mps.gz,-5336.0,0,0,8.100000000000364,9.0,235.585043,9.0,0.0,12025,0,0,201,2.531237,0,0,4,0,optimal,DONE
3,30_70_45_05_100.mps.gz,-5336.0,0,0,8.100000000000364,9.0,262.944749,9.0,0.0,12025,0,0,201,5.494688,0,0,8,0,optimal,DONE
4,30_70_45_095_100.mps.gz,-6132.0,0,0,3.0,3.0,57.558409999999995,3.0,0.0,12505,0,0,1,5.900405999999999,0,0,16,0,optimal,DONE
4,30_70_45_095_100.mps.gz,-6132.0,0,0,3.0,3.0,55.740097999999996,3.0,0.0,12505,0,0,1,5.88269,0,0,32,0,optimal,DONE
4,30_70_45_095_100.mps.gz,-6132.0,0,0,3.0,3.0,57.014318,3.0,0.0,12505,0,0,1,5.882442,0,0,2,0,optimal,DONE
4,30_70_45_095_100.mps.gz,-6132.0,0,0,3.0,3.0,57.299147999999995,3.0,0.0,12505,0,0,1,5.897666,0,0,4,0,optimal,DONE
4,30_70_45_095_100.mps.gz,-6132.0,0,0,3.0,3.0,57.558278,3.0,0.0,12505,0,0,1,5.89804,0,0,8,0,optimal,DONE
5,30_70_45_095_98.mps.gz,-5967.0,0,0,11.5,12.0,28.514921,12.0,0.0,12393,0,0,1,5.384647,0,0,32,0,optimal,DONE
5,30_70_45_095_98.mps.gz,-5967.0,0,0,11.5,12.0,28.407946000000003,12.0,0.0,12393,0,0,1,5.383697,0,0,2,0,optimal,DONE
5,30_70_45_095_98.mps.gz,-5967.0,0,0,11.5,12.0,28.407951,12.0,0.0,12393,0,0,1,5.405406,0,0,4,0,optimal,DONE
5,30_70_45_095_98.mps.gz,-5967.0,0,0,11.5,12.0,28.381690000000003,12.0,0.0,12393,0,0,1,5.401639,0,0,8,0,optimal,DONE
5,30_70_45_095_98.mps.gz,-5967.0,0,0,11.5,12.0,28.514884999999996,12.0,0.0,12393,0,0,1,5.401974,0,0,16,0,optimal,DONE
6,30n20b8.mps.gz,107.09839101758214,0,0,151.0,302.0,142.425632,302.0,0.0,1114,0,0,13632,23.379767,0,0,16,0,optimal,DONE
6,30n20b8.mps.gz,107.09839101758214,0,0,151.0,302.0,145.014424,302.0,0.0,1114,0,0,13632,23.211753,0,0,4,0,optimal,DONE
6,30n20b8.mps.gz,107.09839101758214,0,0,151.0,302.0,145.014465,302.0,0.0,1114,0,0,13632,23.200389,0,0,2,0,optimal,DONE
6,30n20b8.mps.gz,107.09839101758214,0,0,151.0,302.0,146.88828600000002,302.0,0.0,1114,0,0,13632,23.280744,0,0,8,0,optimal,DONE
6,30n20b8.mps.gz,107.09839101758214,0,0,151.0,302.0,174.176122,302.0,0.0,1114,0,0,13632,24.089381,0,0,32,0,optimal,DONE
7,CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.0044,256.0,0.024,26212,0,0,111202,4.459735,0,0,4,0,timelimit,DONE
7,CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.097527,256.0,0.024,26212,0,0,109961,4.440557,0,0,2,0,timelimit,DONE
7,CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.324686,256.0,0.024,26212,0,0,65053,4.66723,0,0,8,0,timelimit,DONE
7,CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.323012,256.0,0.024,26212,0,0,65053,4.673788,0,0,32,0,timelimit,DONE
7,CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.320911000003,256.0,0.024,26212,0,0,65053,4.645877,0,0,16,0,timelimit,DONE
8,Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,19.395415,2673520.2113535767,0.0,4637,0,0,426,2.7078349999999998,0,0,2,0,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,19.391066,2673520.2113535767,0.0,4637,0,0,426,2.741837,0,0,16,0,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,17.12197,2673520.2113535767,0.0,4637,0,0,426,2.6908990000000004,0,0,32,0,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,19.428419,2673520.2113535767,0.0,4637,0,0,426,2.729699,0,0,8,0,optimal,DONE
8,Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,19.214805,2673520.2113535767,0.0,4637,0,0,426,2.7086490000000003,0,0,4,0,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,1531.32187,-10420305975.0,0.0,10074,0,0,1000,7.6192210000000005,0,0,8,0,optimal,DONE
9,ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,1516.31076,-10420305975.0,0.0,10074,0,0,1000,7.64308,0,0,16,0,optimal,DONE
