,index,NAME,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
0,0,neos6.mps.gz,359.8024494,799.5698578,3667.0,9640.0,1,1,1,1,359.8024494,3667.0,359.8024494,359.8024494,359.8024494,3667.0,3667.0,3667.0
1,1,air05.mps.gz,57.4061712,70.6305368,523.0,722.0,1,1,1,1,57.4061712,523.0,57.4061712,57.4061712,57.4061712,523.0,523.0,523.0
2,2,neos8.mps.gz,16.5811546,76.0950242,1.0,1.0,1,1,1,1,16.5811546,1.0,16.5811546,16.5811546,16.5811546,1.0,1.0,1.0
3,3,mine-166-5.mps.gz,50.761648799999996,52.54624640000001,2681.0,1228.0,1,1,1,1,50.761648799999996,1228.0,50.761648799999996,50.761648799999996,50.761648799999996,2681.0,2681.0,2681.0
4,4,acc-tight4.mps.gz,229.533662,159.7069606,1087.0,674.0,0,1,1,0,159.7069606,674.0,229.533662,159.7069606,229.533662,1087.0,674.0,1087.0
5,5,neos-885086.mps.gz,7184.3035036,331.23625020000003,263.0,36.0,0,1,1,0,331.23625020000003,36.0,7184.3035036,331.23625020000003,7184.3035036,263.0,36.0,263.0
6,6,glass4.mps.gz,937.8782435999999,1198.8970535999997,652204.0,2576934.0,1,1,1,1,937.8782435999999,652204.0,937.8782435999999,937.8782435999999,937.8782435999999,652204.0,652204.0,652204.0
7,7,neos-5018451-chiese.mps.gz,1203.734945,2713.6345164000004,3511.0,4543.0,1,1,1,1,1203.734945,3511.0,1203.734945,1203.734945,1203.734945,3511.0,3511.0,3511.0
8,8,iis-glass-cov.mps.gz,789.9152172000001,570.643371,24361.0,25501.0,0,0,0,0,570.643371,24361.0,570.643371,570.643371,570.643371,25501.0,25501.0,25501.0
9,9,eilC76-2.mps.gz,2899.1750631999994,9618.223021000002,7851.0,40399.0,1,1,1,1,2899.1750631999994,7851.0,2899.1750631999994,2899.1750631999994,2899.1750631999994,7851.0,7851.0,7851.0
10,10,dcmulti.mps.gz,2.3997976,2.8607984,90.0,1425.0,1,1,1,1,2.3997976,90.0,2.3997976,2.3997976,2.3997976,90.0,90.0,90.0
11,11,comp08-2idx.mps.gz,1227.0355282000003,18578.684913200002,4218.0,442752.4,1,1,1,1,1227.0355282000003,4218.0,1227.0355282000003,1227.0355282000003,1227.0355282000003,4218.0,4218.0,4218.0
12,12,neos-5188808-nattai.mps.gz,2394.1862532,2213.7094702,11023.0,11213.0,0,1,1,0,2213.7094702,11023.0,2394.1862532,2213.7094702,2394.1862532,11023.0,11213.0,11023.0
13,13,prod2.mps.gz,125.5057832,102.3412064,67499.0,103438.0,0,1,1,0,102.3412064,67499.0,125.5057832,102.3412064,125.5057832,67499.0,103438.0,67499.0
14,14,neos-5129192-manaia.mps.gz,80.1897804,84.5276466,1.0,1.0,1,1,1,1,80.1897804,1.0,80.1897804,80.1897804,80.1897804,1.0,1.0,1.0
15,15,mzzv42z.mps.gz,461.63270679999994,1468.3025026,11.0,2656.0,1,1,1,1,461.63270679999994,11.0,461.63270679999994,461.63270679999994,461.63270679999994,11.0,11.0,11.0
16,16,ran14x18-disj-8.mps.gz,1780.004335,17592.469008199998,312024.0,14591597.0,1,1,1,1,1780.004335,312024.0,1780.004335,1780.004335,1780.004335,312024.0,312024.0,312024.0
17,17,supportcase17.mps.gz,46.593206599999995,59.20159520000001,264.0,2388.0,1,1,1,1,46.593206599999995,264.0,46.593206599999995,46.593206599999995,46.593206599999995,264.0,264.0,264.0
18,18,neos-824661.mps.gz,914.3543791999998,527.9148364,36.0,8.0,0,1,1,0,527.9148364,8.0,914.3543791999998,527.9148364,914.3543791999998,36.0,8.0,36.0
19,19,neos-4322846-ryton.mps.gz,1330.7143346,1407.8525704,664.0,522.0,1,1,1,1,1330.7143346,522.0,1330.7143346,1330.7143346,1330.7143346,664.0,664.0,664.0
20,20,supportcase40.mps.gz,1530.8577412000002,2202.9968381999997,8835.0,70894.0,1,1,1,1,1530.8577412000002,8835.0,1530.8577412000002,1530.8577412000002,1530.8577412000002,8835.0,8835.0,8835.0
21,21,qiu.mps.gz,66.1176314,45.2452708,10652.0,9207.0,0,1,1,0,45.2452708,9207.0,66.1176314,45.2452708,66.1176314,10652.0,9207.0,10652.0
22,22,neos-3661949-lesse.mps.gz,0.2044848,0.2091004,1.0,1.0,1,1,1,1,0.2044848,1.0,0.2044848,0.2044848,0.2044848,1.0,1.0,1.0
23,23,core2536-691.mps.gz,382.0128684,1264.2662936000002,893.0,1199.0,1,1,1,1,382.0128684,893.0,382.0128684,382.0128684,382.0128684,893.0,893.0,893.0
24,24,ab51-40-100.mps.gz,808.5358072,1519.3310086000001,1316.0,1000.0,1,1,1,1,808.5358072,1000.0,808.5358072,808.5358072,808.5358072,1316.0,1316.0,1316.0
25,25,ns1208400.mps.gz,248.5555066,129.0415662,567.0,136.0,0,1,1,0,129.0415662,136.0,248.5555066,129.0415662,248.5555066,567.0,136.0,567.0
26,26,n13-3.mps.gz,7.4866756,111.62159460000001,185.0,24332.0,1,1,1,1,7.4866756,185.0,7.4866756,7.4866756,7.4866756,185.0,185.0,185.0
27,27,n3div36.mps.gz,12237.138276000001,18870.021842800004,306128.0,132226.0,1,1,1,1,12237.138276000001,132226.0,12237.138276000001,12237.138276000001,12237.138276000001,306128.0,306128.0,306128.0
28,28,neos-4722843-widden.mps.gz,1514.4394574,3862.4103869999994,1048.0,18827.0,1,1,1,1,1514.4394574,1048.0,1514.4394574,1514.4394574,1514.4394574,1048.0,1048.0,1048.0
29,29,neos-827175.mps.gz,13.4518752,13.5328512,1.0,1.0,1,1,1,1,13.4518752,1.0,13.4518752,13.4518752,13.4518752,1.0,1.0,1.0
30,30,n2seq36q.mps.gz,245.26977860000002,960.0551838000002,934.0,43811.0,1,1,1,1,245.26977860000002,934.0,245.26977860000002,245.26977860000002,245.26977860000002,934.0,934.0,934.0
31,31,graphdraw-gemcutter.mps.gz,128.35823879999998,386.4662558,175780.0,885799.0,1,1,1,1,128.35823879999998,175780.0,128.35823879999998,128.35823879999998,128.35823879999998,175780.0,175780.0,175780.0
32,32,neos-585467.mps.gz,17.837845800000004,11.0933522,124.0,122.0,0,1,1,0,11.0933522,122.0,17.837845800000004,11.0933522,17.837845800000004,124.0,122.0,124.0
33,33,danoint.mps.gz,7173.3016272,6068.6426664,1239048.0,1591551.0,0,1,1,0,6068.6426664,1239048.0,7173.3016272,6068.6426664,7173.3016272,1239048.0,1591551.0,1239048.0
