NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
10teams.mps.gz,20.0,0,0,917.0,924.0,11.812637,0.081354,924.0,0.0,210,0,0,276,0.085024,0,0,4,0,optimal,DONE
22433.mps.gz,21240.526170798898,0,0,21240.5261707989,21477.0,0.7844629999999999,0.048768,21477.0,0.0,396,0,0,5,0.046697999999999996,0,0,4,0,optimal,DONE
23588.mps.gz,7649.866133822501,0,0,7747.0,8090.0,2.227333,0.065284,8090.0,0.0,274,0,0,981,0.063889,0,0,4,0,optimal,DONE
30_70_45_05_100.mps.gz,-5336.0,0,0,8.100000000000364,9.0,235.585043,2.499072,9.0,0.0,12025,0,0,201,2.531237,0,0,4,0,optimal,DONE
30_70_45_095_100.mps.gz,-6132.0,0,0,3.0,3.0,57.299148,5.840803,3.0,0.0,12505,0,0,1,5.897666,0,0,4,0,optimal,DONE
30_70_45_095_98.mps.gz,-5967.0,0,0,11.5,12.0,28.407951,5.3551079999999995,12.0,0.0,12393,0,0,1,5.405406,0,0,4,0,optimal,DONE
30n20b8.mps.gz,107.09839101758216,0,0,151.0,302.0,145.014424,23.247643,302.0,0.0,1114,0,0,13632,23.211753,0,0,4,0,optimal,DONE
CMS750_4.mps.gz,250.0,0,0,250.0,256.0,18000.0044,4.533647,256.0,0.024,26212,0,0,111202,4.459735,0,0,4,0,timelimit,DONE
Test3.mps.gz,2241736.0000091013,0,0,2671772.5038492223,2673520.2113535767,19.214805,2.502274,2673520.2113535767,0.0,4637,0,0,426,2.708649,0,0,4,0,optimal,DONE
ab51-40-100.mps.gz,-3998177155848.0,0,0,-3998177155848.0,-10420305975.0,1515.25664,6.905537,-10420305975.0,0.0,10074,0,0,1000,6.95134,0,0,4,0,optimal,DONE
ab67-40-100.mps.gz,-4706401663115.0,0,0,-4706401663115.0,-11186253442.0,318.978649,8.245699,-11186253442.0,0.0,10289,0,0,75,8.319381,0,0,4,0,optimal,DONE
ab69-40-100.mps.gz,-4636145206664.0,0,0,-4636145206664.0,-11186281442.0,433.08342,8.031314,-11186281442.0,0.0,10113,0,0,109,8.095319,0,0,4,0,optimal,DONE
ab71-20-100.mps.gz,-2595744808603.0,0,0,-10885829151.151033,-10420305975.0,198.942821,2.393572,-10420305975.0,0.0,5712,0,0,706,2.411673,0,0,4,0,optimal,DONE
ab72-40-100.mps.gz,-4570070608537.0,0,0,-4570070608537.0,-11186620442.0,671.968449,7.141667,-11186620442.0,0.0,9879,0,0,152,7.191663,0,0,4,0,optimal,DONE
acc-tight2.mps.gz,0,0,0,0,0.0,12.600287,0.111369,0.0,0.0,2520,0,0,80,0.11825999999999999,0,0,4,0,optimal,DONE
acc-tight4.mps.gz,0,0,0,0,0.0,126.664652,0.904751,0.0,0.0,3186,0,0,674,0.9127569999999999,0,0,4,0,optimal,DONE
acc-tight5.mps.gz,0,0,0,0,0.0,73.13169,1.7496559999999999,0.0,0.0,2298,0,0,713,1.756511,0,0,4,0,optimal,DONE
aflow30a.mps.gz,-32161.0,0,0,983.1674252633647,1158.0,49.319438,0.09558,1158.0,0.0,824,0,0,42445,0.08453,0,0,4,0,optimal,DONE
aflow40b.mps.gz,-66091.0,0,0,1005.6648165120569,1168.0,13641.395033,0.29256499999999996,1168.0,0.0,2608,0,0,5221215,0.27191899999999997,0,0,4,0,optimal,DONE
air03.mps.gz,-513715782.0,0,0,338864.25,340160.0,2.035722,1.017966,340160.0,0.0,212,0,0,1,0.8267439999999999,0,0,4,0,optimal,DONE
air04.mps.gz,-83210.0,0,0,55535.43638822428,56137.0,90.573108,8.030805,56137.0,0.0,600,0,0,499,8.058381,0,0,4,0,optimal,DONE
air05.mps.gz,-40465.0,0,0,25877.60926785141,26374.0,60.978138,0.6291329999999999,26374.0,0.0,342,0,0,722,0.658189,0,0,4,0,optimal,DONE
aligninq.mps.gz,2654.736802205333,0,0,2654.736802205333,2713.0,20.875486,0.119056,2713.0,0.0,708,0,0,343,0.097837,0,0,4,0,optimal,DONE
app1-1.mps.gz,-23.0,0,0,-3.993827853717325,-3.0,0.7847409999999999,0.46546099999999996,-3.0,0.0,2419,0,0,4,0.478222,0,0,4,0,optimal,DONE
app1-2.mps.gz,-266.0,0,0,-53.94147364434894,-41.0,410.107054,9.152791,-41.0,0.0,26555,0,0,11191,9.249509,0,0,4,0,optimal,DONE
app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.4437,0.19227999999999998,19294.25,0.0,997,0,0,1,0.201488,0,0,4,0,optimal,DONE
app2-2.mps.gz,212040.35714285713,0,0,212040.35714285713,212040.5,0.38741,0.078563,212040.5,0.0,343,0,0,1,0.055664,0,0,4,0,optimal,DONE
app3.mps.gz,-31829377681.21209,0,0,5644070.732055664,5751714.328905106,1.6608049999999999,0.07097099999999999,5751714.328905106,0.0,724,0,0,98,0.07088,0,0,4,0,optimal,DONE
arki001.mps.gz,1273480.9000000001,0,0,7579621.852064488,7580813.0711281,3339.399161,0.107891,7580813.0711281,0.0,1383,0,0,1761208,0.10144299999999999,0,0,4,0,optimal,DONE
atlanta-ip.mps.gz,3.00157865668,0,0,81.29732492072435,91.00981807241001,18000.003956,2.534142,91.00981807241001,0.020056574599509838,37122,0,0,88103,2.351828,0,0,4,0,timelimit,DONE
australia-abs-cta.mps.gz,0,0,0,0,106.90466814283947,1811.228674,0.9128799999999999,106.90466814283907,0.0,7800,0,0,95605,0.6575759999999999,0,0,4,0,optimal,DONE
bab5.mps.gz,-1775422.122400002,0,0,-116856.28755000001,-106364.6041,18000.002733,5.7599219999999995,-106364.6041,0.00832756354893443,9400,0,0,294019,5.491172,0,0,4,0,timelimit,DONE
bc.mps.gz,4.289050631437719,0,0,4.289050631437719,6.999999999999999,17771.051971,5.227819,7.0,0.0,3752,0,0,523884,5.050274,0,0,4,0,optimal,DONE
bc1.mps.gz,2.1887763488011416,0,0,2.188776348801141,3.338362547646319,657.817055,4.05626,3.338362547646319,0.0,1337,0,0,17530,4.101721,0,0,4,0,optimal,DONE
beasleyC1.mps.gz,25.0,0,0,52.0,85.0,12.946795,0.047646,85.0,0.0,1166,0,0,1752,0.053606999999999995,0,0,4,0,optimal,DONE
beavma.mps.gz,128906.80000000002,0,0,310231.25895056385,383285.00000000006,8.968519,0.048308,383285.00000000006,0.0,531,0,0,5697,0.037483999999999996,0,0,4,0,optimal,DONE
biella1.mps.gz,3060037.430763108,0,0,3060037.4307631077,3065005.7800000003,2185.445459,1.772653,3065005.7800000003,0.0,2133,0,0,10432,1.553411,0,0,4,0,optimal,DONE
