,NAME,RANDOM SEED,TIME W/ CUTS,NODES W/ CUTS,TIME W/O CUTS,NODES W/O CUTS,GAP W/ CUTS,GAP W/O CUTS,Minimum Time,Minimum Nodes
15,2club200v15p5scn.mps.gz,2,18000.00059,290177,18000.003090000002,1275331,0.623655914,0.436567164,18000.00059,290177
16,2club200v15p5scn.mps.gz,4,18000.00046,309345,18000.006569999998,1469791,0.620967742,0.42686567200000003,18000.00046,309345
17,2club200v15p5scn.mps.gz,8,18000.00121,307483,18000.00448,1470499,0.620967742,0.42686567200000003,18000.00121,307483
18,2club200v15p5scn.mps.gz,16,18000.00076,308430,18000.00331,1487302,0.620967742,0.425373134,18000.00076,308430
19,2club200v15p5scn.mps.gz,32,18000.00104,299915,18000.00611,1540026,0.621816638,0.425373134,18000.00104,299915
65,academictimetablebig.mps.gz,2,18000.04442,6,18000.06148,124,1e+20,1e+20,18000.04442,6
66,academictimetablebig.mps.gz,4,18000.19705,6,18000.07073,124,1e+20,1e+20,18000.07073,6
67,academictimetablebig.mps.gz,8,18000.012290000002,6,18000.052180000002,124,1e+20,1e+20,18000.012290000002,6
68,academictimetablebig.mps.gz,16,18000.01659,7,18000.045019999998,124,1e+20,1e+20,18000.01659,7
69,academictimetablebig.mps.gz,32,18000.165230000002,7,18000.00944,124,1e+20,1e+20,18000.00944,7
70,academictimetablesmall.mps.gz,2,18000.00124,1426,18000.001519999998,3478,1e+20,1e+20,18000.00124,1426
71,academictimetablesmall.mps.gz,4,18000.00471,1702,18000.00171,3458,1e+20,1e+20,18000.00171,1702
72,academictimetablesmall.mps.gz,8,18000.00303,1440,18000.002419999997,3452,1e+20,1e+20,18000.002419999997,1440
73,academictimetablesmall.mps.gz,16,18000.00132,1673,18000.00176,3442,1e+20,1e+20,18000.00132,1673
74,academictimetablesmall.mps.gz,32,18000.00243,1401,18000.00266,3533,1e+20,1e+20,18000.00243,1401
90,adult-max5features.mps.gz,2,18000.21675,132,18000.36262,770,1016.919102,81913.11664,18000.21675,132
91,adult-max5features.mps.gz,4,18000.01049,132,18000.00374,709,1016.919102,81913.11664,18000.00374,132
92,adult-max5features.mps.gz,8,18001.01678,132,18000.18425,668,1016.919102,81913.11664,18000.18425,132
93,adult-max5features.mps.gz,16,18000.082769999997,132,18000.00398,718,1016.919102,81913.11664,18000.00398,132
94,adult-max5features.mps.gz,32,18000.42645,133,18000.22881,892,1016.512615,81913.11664,18000.22881,133
125,allcolor10.mps.gz,2,18000.000630000002,117374,18000.00268,123510,40.755,40.5,18000.000630000002,117374
126,allcolor10.mps.gz,4,18000.00396,142886,18000.00243,120405,40.755,40.5,18000.00243,120405
127,allcolor10.mps.gz,8,18000.00128,99000,18000.002269999997,117389,40.755,40.5,18000.00128,99000
128,allcolor10.mps.gz,16,18000.001119999997,120059,18000.00303,120851,40.755,40.5,18000.001119999997,120059
129,allcolor10.mps.gz,32,18000.0013,142997,18000.00534,133016,40.755,40.5,18000.0013,133016
